Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Season
Pau Gasol,34,CHI,PF,78,78,2681,22.7,.550,.023,.317,9.2,27.6,18.6,14.4,0.5,4.0,10.7,24.7,6.0,4.4,10.4,.187,2.9,0.6,3.5,3.7,"AS,NBA2",2015
Ben McLemore,21,SAC,SG,82,82,2670,10.4,.552,.471,.193,1.4,8.6,5.1,8.4,1.5,0.6,13.3,17.2,1.7,0.8,2.5,.045,-1.3,-0.9,-2.2,-0.2,,2015
Ty Lawson,27,DEN,PG,75,75,2665,18.5,.526,.221,.392,1.6,8.1,4.7,43.0,1.7,0.3,14.6,20.6,6.0,1.0,7.0,.126,3.0,-0.9,2.2,2.8,,2015
Goran Dragić,28,2TM,PG,78,78,2640,17.4,.577,.258,.234,3.5,8.2,5.9,22.8,1.5,0.5,13.5,21.8,5.4,1.4,6.8,.123,1.6,-0.8,0.8,1.8,,2015
Goran Dragić,28,PHO,SG,52,52,1735,16.7,.573,.274,.191,3.2,8.5,5.8,20.2,1.4,0.4,13.4,21.5,3.1,0.9,4.0,.111,1.1,-1.0,0.1,0.9,,2015
Goran Dragić,28,MIA,PG,26,26,905,18.8,.586,.226,.322,4.1,7.7,5.9,27.8,1.6,0.6,13.8,22.2,2.3,0.5,2.8,.146,2.5,-0.4,2.1,0.9,,2015
Gordon Hayward,24,UTA,SF,76,76,2618,20.2,.567,.304,.425,2.4,14.0,8.2,21.7,2.2,0.9,13.8,26.2,5.8,2.9,8.7,.159,3.5,0.5,4.0,4.0,,2015
Stephen Curry,26,GSW,PG,80,80,2613,28.0,.638,.482,.251,2.4,11.4,7.0,38.6,3.0,0.5,14.3,28.9,11.5,4.1,15.7,.288,8.2,1.7,9.9,7.9,"MVP-1,AS,NBA1",2015
Kentavious Caldwell-Pope,21,DET,SG,82,82,2587,11.2,.501,.457,.163,1.9,9.1,5.4,6.8,1.9,0.5,8.3,19.5,1.1,1.8,2.8,.052,-1.3,-0.4,-1.7,0.2,,2015
Markieff Morris,25,PHO,PF,82,82,2581,15.8,.523,.163,.211,4.6,17.0,10.7,12.4,2.0,1.2,12.4,23.3,1.8,2.7,4.6,.085,-0.5,0.2,-0.3,1.1,,2015
Victor Oladipo,22,ORL,SG,72,71,2573,15.9,.527,.228,.295,2.2,11.2,6.6,19.3,2.4,0.6,14.3,25.2,1.5,2.0,3.5,.065,-0.1,-0.3,-0.4,1.1,,2015
Giannis Antetokounmpo,20,MIL,SG,81,71,2541,14.8,.552,.056,.445,4.5,19.7,12.2,13.1,1.5,2.8,15.6,19.6,2.2,4.0,6.2,.117,-1.2,1.2,0.0,1.2,,2015
Kevin Love,26,CLE,PF,75,75,2532,18.8,.562,.412,.337,6.5,26.3,16.6,10.7,1.0,1.2,10.0,21.7,5.8,2.9,8.7,.165,3.2,-0.4,2.7,3.0,,2015
Nikola Vučević,24,ORL,C,74,74,2529,21.5,.548,.005,.181,10.4,26.0,18.1,11.0,1.1,1.7,10.2,26.0,4.5,2.5,7.0,.133,2.0,-1.2,0.9,1.8,,2015
Jimmy Butler,25,CHI,SG,65,65,2513,21.3,.583,.212,.508,5.1,11.2,8.2,14.4,2.3,1.0,7.7,21.6,8.2,3.0,11.2,.214,3.4,1.2,4.6,4.2,"DPOY-10,MIP-1,AS,DEF2",2015
LaMarcus Aldridge,29,POR,PF,71,71,2512,22.8,.528,.074,.256,7.7,22.9,15.5,9.2,1.0,1.9,7.2,30.2,4.9,3.7,8.6,.165,3.2,-0.3,2.9,3.1,"MVP-7,AS,NBA2",2015
Andre Drummond,21,DET,C,82,82,2502,21.4,.504,.002,.380,18.3,30.1,24.0,3.9,1.5,4.8,9.7,22.0,3.4,4.3,7.7,.147,0.6,-0.7,-0.1,1.2,,2015
Arron Afflalo,29,2TM,SG,78,72,2502,10.7,.533,.377,.224,1.1,9.7,5.3,8.2,0.8,0.2,10.7,19.0,1.6,1.0,2.6,.050,-1.4,-1.1,-2.5,-0.3,,2015
Arron Afflalo,29,DEN,SG,53,53,1750,11.7,.533,.370,.230,1.3,10.2,5.6,9.3,0.9,0.2,10.3,19.9,1.4,0.4,1.8,.050,-0.7,-1.2,-1.9,0.1,,2015
Arron Afflalo,29,POR,SG,25,19,752,8.2,.533,.396,.207,0.9,8.5,4.8,5.5,0.6,0.2,11.8,16.7,0.2,0.5,0.8,.049,-3.0,-0.8,-3.8,-0.4,,2015
LeBron James,30,CLE,SF,69,69,2493,25.9,.577,.265,.413,2.4,16.6,9.6,38.6,2.3,1.6,15.3,32.3,7.4,2.9,10.4,.199,6.1,1.0,7.1,5.7,"MVP-3,DPOY-13,AS,NBA1",2015
Draymond Green,24,GSW,PF,79,79,2490,16.4,.540,.430,.261,5.1,22.4,14.0,16.1,2.4,2.9,13.5,17.2,3.3,5.2,8.5,.163,0.7,2.8,3.5,3.5,"DPOY-2,DEF1",2015
Elfrid Payton,20,ORL,PG,82,63,2489,13.8,.456,.059,.302,4.8,11.2,7.9,32.6,2.9,0.7,20.2,18.3,0.0,2.3,2.3,.044,-1.5,0.3,-1.2,0.5,ROY-4,2015
Wilson Chandler,27,DEN,SF,78,75,2471,13.2,.523,.416,.146,4.1,17.2,10.4,8.9,1.2,0.9,9.6,20.1,2.1,1.5,3.6,.071,0.2,-0.7,-0.6,0.9,,2015
Klay Thompson,24,GSW,SG,77,77,2455,20.8,.591,.420,.197,1.2,9.4,5.4,14.6,1.7,1.8,9.5,27.6,5.7,3.1,8.8,.172,4.5,-0.1,4.4,4.0,"MVP-10,AS,NBA3",2015
Anthony Davis,21,NOP,PF,68,68,2455,30.8,.591,.010,.384,8.0,24.1,16.1,11.6,2.1,6.2,6.3,27.8,9.9,4.2,14.0,.274,6.6,2.3,8.9,6.7,"MVP-5,DPOY-4,AS,NBA1,DEF2",2015
Jeff Green,28,2TM,SF,78,70,2454,14.4,.534,.302,.297,2.9,12.1,7.5,8.8,1.1,1.1,9.0,21.9,2.7,2.4,5.2,.101,0.5,-0.7,-0.2,1.2,,2015
Jeff Green,28,BOS,SF,33,33,1093,14.6,.539,.324,.303,2.1,12.2,7.1,7.9,1.2,0.9,9.4,23.8,1.0,1.0,2.0,.089,0.2,-1.3,-1.1,0.3,,2015
Jeff Green,28,MEM,SF,45,37,1361,14.2,.530,.280,.291,3.6,12.0,7.8,9.5,1.0,1.3,8.6,20.5,1.7,1.5,3.1,.111,0.8,-0.2,0.6,0.9,,2015
Marcin Gortat,30,WAS,C,82,82,2453,18.2,.587,.004,.226,8.5,24.1,16.5,6.5,1.0,3.6,10.5,17.6,4.4,4.2,8.6,.168,0.6,0.9,1.5,2.1,,2015
Thaddeus Young,26,2TM,PF,76,68,2434,15.7,.507,.119,.207,5.8,13.5,9.6,12.4,2.6,0.8,10.0,21.5,1.6,1.4,3.1,.061,0.0,-0.2,-0.1,1.1,,2015
Thaddeus Young,26,MIN,PF,48,48,1605,15.0,.491,.101,.201,5.2,12.5,8.7,14.7,2.7,0.8,9.7,21.2,0.8,0.6,1.4,.043,-0.4,-0.1,-0.5,0.6,,2015
Thaddeus Young,26,BRK,PF,28,20,829,17.1,.539,.153,.217,7.1,15.4,11.2,8.0,2.4,0.8,10.5,22.0,0.8,0.8,1.6,.095,0.7,-0.3,0.5,0.5,,2015
Avery Bradley,24,BOS,SG,77,77,2428,11.5,.507,.348,.099,2.0,8.9,5.4,8.9,1.7,0.5,9.4,21.0,0.4,2.1,2.5,.049,-1.5,-0.6,-2.2,-0.1,,2015
Luol Deng,29,MIA,SF,72,72,2421,15.5,.561,.280,.319,5.2,13.3,9.3,9.9,1.4,0.8,10.7,19.5,3.7,1.6,5.4,.106,1.1,-1.1,0.0,1.2,,2015
Kyle Korver,33,ATL,SG,75,75,2418,14.8,.699,.748,.197,0.7,13.3,7.2,12.1,1.1,1.5,14.1,14.4,5.0,2.4,7.5,.148,2.4,0.4,2.8,3.0,AS,2015
Kyle Lowry,28,TOR,PG,70,70,2414,19.3,.527,.375,.299,2.6,13.1,7.8,32.4,2.3,0.4,12.8,25.4,5.1,2.0,7.1,.141,3.2,-0.1,3.0,3.1,AS,2015
JJ Redick,30,LAC,SG,78,78,2409,16.2,.622,.488,.216,1.0,6.6,3.9,9.0,0.8,0.3,8.5,21.0,5.8,0.9,6.7,.134,2.9,-1.6,1.3,2.0,,2015
Rudy Gay,28,SAC,SF,68,67,2408,19.7,.556,.197,.352,4.8,13.7,9.4,19.0,1.5,1.3,12.4,27.0,4.8,1.3,6.1,.122,3.4,-0.7,2.7,2.9,,2015
Paul Millsap,29,ATL,PF,73,73,2390,20.0,.565,.232,.362,6.9,20.0,13.6,15.4,2.8,2.4,13.3,23.8,4.0,4.3,8.3,.166,1.7,1.7,3.4,3.3,AS,2015
P.J. Tucker,29,PHO,SF,78,63,2383,12.5,.541,.423,.240,5.2,18.0,11.5,7.4,2.2,0.7,12.7,13.9,2.2,2.7,4.9,.098,-0.7,1.0,0.4,1.4,,2015
Solomon Hill,23,IND,SF,82,78,2381,10.2,.507,.328,.304,3.3,11.2,7.3,11.9,1.4,0.6,13.8,15.9,0.9,2.6,3.5,.072,-2.0,0.5,-1.5,0.3,,2015
Nicolas Batum,26,POR,SF,71,71,2380,13.1,.516,.515,.163,2.8,15.6,9.4,20.5,1.7,1.2,17.0,14.6,2.0,3.2,5.2,.105,0.3,1.8,2.1,2.4,,2015
Khris Middleton,23,MIL,SF,79,58,2378,15.6,.563,.308,.180,2.3,14.3,8.4,12.7,2.6,0.4,10.8,19.9,3.2,3.5,6.7,.135,0.5,1.1,1.6,2.2,,2015
Tobias Harris,22,ORL,SF,68,63,2369,16.7,.551,.252,.258,3.4,17.3,10.3,8.8,1.5,1.2,9.8,22.5,3.0,1.8,4.8,.098,1.1,-0.6,0.5,1.5,,2015
Mario Chalmers,28,MIA,PG,80,37,2368,11.7,.521,.374,.401,1.2,9.0,5.2,21.0,2.7,0.4,18.2,18.9,0.8,2.0,2.8,.056,-2.6,0.1,-2.5,-0.3,,2015
Blake Griffin,25,LAC,PF,67,67,2356,22.8,.551,.022,.373,6.1,17.9,12.1,26.2,1.4,1.2,10.2,28.4,6.6,2.4,9.0,.183,3.8,0.2,4.0,3.6,"MVP-8,AS,NBA3",2015
Courtney Lee,29,MEM,SG,77,74,2354,11.5,.555,.348,.201,1.0,7.6,4.3,9.8,1.7,0.4,10.0,15.2,2.5,2.4,4.8,.099,-1.0,0.5,-0.5,0.9,,2015
Harrison Barnes,22,GSW,SF,82,82,2318,13.4,.573,.328,.229,5.6,15.1,10.5,6.9,1.3,0.6,9.0,14.9,3.7,3.0,6.7,.139,0.2,-0.1,0.1,1.2,,2015
Al Horford,28,ATL,C,76,76,2318,21.4,.563,.037,.146,6.7,19.8,13.4,18.6,1.5,3.5,8.9,22.2,5.1,3.6,8.7,.179,2.6,1.5,4.1,3.6,AS,2015
Gerald Henderson,27,CHO,SG,80,72,2315,13.2,.514,.161,.256,1.7,11.6,6.5,15.6,1.1,0.7,10.5,20.7,1.3,2.3,3.6,.074,-1.3,0.0,-1.4,0.4,,2015
Danny Green,27,SAS,SG,81,80,2312,16.5,.596,.619,.172,2.7,13.9,8.4,10.3,2.2,2.8,10.5,17.5,4.0,3.9,7.8,.163,2.6,2.0,4.6,3.8,,2015
Nerlens Noel,20,PHI,C,75,71,2311,15.0,.493,.000,.352,8.3,21.0,14.3,9.8,2.9,5.0,16.2,17.0,-0.2,4.2,4.0,.083,-2.6,2.3,-0.3,1.0,"ROY-3,DPOY-15",2015
Zach Randolph,33,MEM,PF,71,71,2304,19.5,.538,.021,.320,11.2,25.8,18.5,11.4,1.6,0.5,12.8,24.3,3.4,3.8,7.2,.149,1.4,-0.1,1.3,1.9,,2015
Russell Westbrook,26,OKC,PG,67,67,2302,29.1,.536,.196,.445,5.9,16.7,11.4,47.0,3.0,0.5,14.3,38.4,7.5,3.2,10.6,.222,6.9,1.2,8.1,5.8,"MVP-4,AS,NBA2",2015
Josh Smith,29,2TM,PF,83,35,2300,14.9,.467,.231,.258,7.2,18.3,12.6,20.5,1.9,3.9,15.8,24.8,-1.1,3.4,2.3,.048,-0.6,1.2,0.7,1.6,,2015
Josh Smith,29,DET,PF,28,28,896,14.3,.417,.095,.284,6.1,18.9,12.3,24.7,2.1,4.2,14.1,25.3,-1.1,1.3,0.2,.012,-0.7,2.2,1.5,0.8,,2015
Josh Smith,29,HOU,PF,55,7,1404,15.2,.500,.320,.242,7.9,17.9,12.9,17.8,1.8,3.8,16.9,24.5,-0.1,2.2,2.1,.071,-0.5,0.7,0.2,0.8,,2015
Trey Burke,22,UTA,PG,76,43,2288,12.6,.455,.388,.144,1.6,8.7,5.2,25.0,1.5,0.5,10.4,23.9,0.8,1.6,2.4,.050,-0.1,-1.3,-1.4,0.3,,2015
Tyson Chandler,32,DAL,C,75,75,2286,20.1,.697,.000,.584,14.1,27.4,20.7,5.3,0.9,3.2,16.0,12.8,7.2,3.1,10.3,.216,2.4,0.2,2.6,2.7,,2015
Dirk Nowitzki,36,DAL,PF,77,77,2282,19.2,.560,.258,.272,2.1,19.9,11.0,10.4,0.9,1.2,6.5,24.9,5.2,2.0,7.2,.152,2.7,-0.5,2.2,2.4,AS,2015
Derrick Favors,23,UTA,PF,74,74,2280,21.8,.558,.007,.362,10.0,20.7,15.4,9.4,1.4,4.3,10.2,23.8,5.0,3.3,8.3,.175,1.9,0.6,2.5,2.6,,2015
Matt Barnes,34,LAC,SF,76,74,2271,11.3,.574,.603,.152,2.6,12.2,7.5,7.2,1.5,1.8,11.6,14.9,2.2,2.1,4.3,.091,-0.5,0.2,-0.3,1.0,,2015
Reggie Jackson,24,2TM,PG,77,40,2268,17.2,.511,.242,.219,2.6,12.9,7.8,34.8,1.4,0.3,14.6,24.6,3.3,1.7,4.9,.104,1.8,-0.6,1.1,1.8,,2015
Reggie Jackson,24,OKC,PG,50,13,1398,15.6,.511,.274,.200,2.2,13.0,7.7,24.5,1.5,0.3,12.7,22.1,1.8,1.1,2.9,.101,0.9,-0.2,0.7,0.9,,2015
Reggie Jackson,24,DET,PG,27,27,870,19.8,.511,.198,.245,3.4,12.7,7.9,51.2,1.2,0.4,17.0,28.6,1.5,0.5,2.0,.110,3.2,-1.3,1.9,0.9,,2015
Evan Turner,26,BOS,SG,82,57,2260,12.8,.482,.160,.189,1.9,18.5,10.1,30.0,1.8,0.7,19.7,19.5,-0.3,2.8,2.5,.054,-1.8,0.8,-1.0,0.6,,2015
Wesley Johnson,27,LAL,SF,76,59,2245,11.1,.509,.375,.162,3.2,12.9,7.8,8.6,1.3,1.6,10.5,16.4,1.0,0.7,1.7,.037,-1.1,-0.8,-1.9,0.1,,2015
Jarrett Jack,31,BRK,PG,80,27,2241,14.6,.522,.179,.278,1.0,11.3,6.1,27.3,1.7,0.5,17.2,22.6,1.1,1.4,2.6,.055,-0.4,-0.7,-1.1,0.5,,2015
Jeff Teague,26,ATL,PG,73,72,2228,20.6,.566,.233,.360,1.6,7.7,4.7,37.9,2.9,1.2,16.6,25.3,5.0,2.8,7.7,.166,2.7,0.3,2.9,2.8,AS,2015
Tim Duncan,38,SAS,C,77,77,2227,22.6,.560,.009,.380,8.8,26.7,17.9,16.8,1.4,5.1,12.1,22.2,4.9,4.7,9.6,.207,2.3,2.8,5.1,4.0,"MVP-10,DPOY-8,AS,NBA3,DEF2",2015
Mike Conley,27,MEM,PG,70,70,2225,18.6,.558,.314,.282,1.5,9.2,5.4,28.0,2.1,0.5,13.6,23.7,4.2,2.7,6.8,.147,2.6,0.2,2.8,2.7,,2015
Dion Waiters,23,2TM,SG,80,23,2208,10.9,.460,.260,.182,2.1,7.4,4.8,11.9,2.1,0.8,10.0,22.5,-0.6,1.7,1.1,.025,-2.5,-0.8,-3.3,-0.7,,2015
Dion Waiters,23,CLE,SG,33,3,786,12.2,.468,.251,.175,1.8,6.5,4.2,15.6,2.9,1.0,12.0,24.0,-0.3,0.7,0.5,.029,-2.6,0.0,-2.6,-0.1,,2015
Dion Waiters,23,OKC,SG,47,20,1422,10.1,.455,.265,.185,2.2,7.9,5.1,9.8,1.6,0.6,8.8,21.7,-0.3,1.0,0.7,.023,-2.5,-1.2,-3.7,-0.6,,2015
Tristan Thompson,23,CLE,PF,82,15,2194,15.6,.580,.000,.508,14.5,19.7,17.2,2.7,0.8,2.2,12.2,14.0,4.7,2.1,6.8,.148,0.1,-1.4,-1.2,0.4,6MOY-5,2015
Gorgui Dieng,25,MIN,C,73,49,2193,17.2,.573,.012,.477,11.3,20.8,15.9,10.5,1.6,4.5,16.9,15.0,3.4,1.5,4.9,.108,-0.1,0.3,0.2,1.2,,2015
DeMarre Carroll,28,ATL,SF,70,69,2189,15.9,.603,.466,.277,5.3,13.8,9.7,8.3,2.2,0.7,9.3,16.9,4.3,2.8,7.0,.154,1.2,0.4,1.7,2.0,DPOY-15,2015
Chandler Parsons,26,DAL,SF,66,66,2186,16.3,.567,.419,.233,3.2,13.0,8.1,11.4,1.6,0.7,9.5,20.6,3.8,1.7,5.5,.121,2.0,-0.4,1.6,2.0,,2015
Rudy Gobert,22,UTA,C,82,37,2158,21.6,.627,.005,.639,14.3,27.2,20.7,8.2,1.6,7.0,16.9,14.0,5.0,4.3,9.3,.206,1.7,2.5,4.2,3.4,DPOY-5,2015
Patrick Patterson,25,TOR,PF,81,4,2156,14.6,.568,.529,.150,6.8,16.3,11.6,10.7,1.4,1.6,8.7,13.1,4.4,1.7,6.1,.137,2.3,0.2,2.5,2.4,,2015
Michael Carter-Williams,23,2TM,PG,66,63,2149,14.1,.461,.166,.317,3.2,15.3,9.0,37.3,2.6,1.1,19.5,26.7,-2.1,2.9,0.8,.017,-1.3,0.3,-1.1,0.5,,2015
Michael Carter-Williams,23,PHI,PG,41,38,1391,12.8,.444,.205,.298,3.2,17.3,9.9,40.9,2.2,1.0,20.1,27.1,-2.1,1.6,-0.5,-0.017,-1.7,-0.4,-2.0,0.0,,2015
Michael Carter-Williams,23,MIL,PG,25,25,758,16.3,.496,.091,.354,3.2,11.7,7.5,30.8,3.4,1.3,18.2,25.8,0.0,1.3,1.3,.080,-0.8,1.4,0.6,0.5,,2015
Greg Monroe,24,DET,PF,69,57,2137,21.2,.549,.000,.394,11.2,25.1,17.9,11.7,1.9,1.3,13.0,23.9,4.0,2.8,6.8,.153,2.0,0.0,2.0,2.1,,2015
Enes Freedom,22,2TM,C,75,74,2135,20.3,.564,.048,.252,14.6,20.5,17.6,4.8,0.9,1.1,12.3,24.7,4.3,2.1,6.4,.145,1.6,-2.5,-0.9,0.6,,2015
Enes Freedom,22,UTA,C,49,48,1326,17.5,.535,.070,.203,12.9,20.5,16.7,3.8,0.9,1.0,12.8,25.1,1.4,1.3,2.7,.099,0.0,-2.7,-2.7,-0.2,,2015
Enes Freedom,22,OKC,C,26,26,809,24.9,.611,.012,.335,17.5,20.5,19.0,6.4,0.8,1.3,11.6,23.9,2.9,0.8,3.7,.220,4.4,-2.3,2.0,0.8,,2015
Kemba Walker,24,CHO,PG,62,58,2119,17.6,.486,.285,.288,1.8,9.9,5.7,27.1,2.2,1.2,8.3,25.9,1.8,2.6,4.5,.101,1.7,0.6,2.3,2.3,,2015
Serge Ibaka,25,OKC,PF,64,64,2116,16.6,.549,.261,.140,7.0,18.1,12.6,4.2,0.7,5.8,10.4,18.9,2.9,2.7,5.6,.127,0.5,0.4,0.9,1.6,,2015
Deron Williams,30,BRK,PG,68,55,2114,15.7,.504,.307,.313,1.5,11.0,6.3,33.7,1.6,0.6,14.9,22.3,2.3,1.3,3.6,.083,1.1,-0.9,0.2,1.2,,2015
Bradley Beal,21,WAS,SG,63,59,2107,14.0,.521,.304,.195,3.1,9.6,6.4,15.0,1.8,0.7,11.7,22.5,1.3,2.4,3.7,.085,-0.1,0.2,0.1,1.1,,2015
Brook Lopez,26,BRK,C,72,44,2100,22.7,.558,.010,.278,11.5,17.1,14.3,4.5,1.1,4.8,8.6,26.3,4.7,2.2,7.0,.159,1.8,-0.7,1.2,1.6,,2015
DeMar DeRozan,25,TOR,SG,60,60,2100,17.4,.510,.089,.438,2.3,12.9,7.6,17.0,1.8,0.4,10.4,28.4,2.6,1.4,4.0,.090,0.5,-1.4,-0.9,0.6,,2015
Jonas Valančiūnas,22,TOR,C,80,80,2096,20.6,.623,.002,.423,11.8,26.3,19.1,3.1,0.8,3.6,12.4,19.1,5.8,2.4,8.2,.189,1.4,-0.9,0.5,1.3,,2015
Terrence Ross,23,TOR,SF,82,61,2092,11.2,.519,.518,.074,1.8,10.7,6.2,6.5,1.3,1.0,8.1,18.3,1.3,1.0,2.4,.054,-0.1,-1.3,-1.4,0.3,,2015
Corey Brewer,28,2TM,SF,80,17,2087,13.9,.507,.292,.281,4.2,11.7,7.9,13.8,2.7,0.7,12.7,21.6,1.0,2.1,3.1,.071,-1.2,0.2,-1.0,0.5,6MOY-8,2015
Corey Brewer,28,MIN,SF,24,16,680,13.8,.484,.182,.347,5.2,10.8,7.9,18.6,4.0,0.5,16.2,20.1,0.0,0.4,0.4,.028,-1.9,1.1,-0.8,0.2,,2015
Corey Brewer,28,HOU,SF,56,1,1407,14.0,.516,.334,.255,3.8,12.1,8.0,11.5,2.1,0.8,11.2,22.4,1.0,1.6,2.7,.091,-0.8,-0.3,-1.1,0.3,,2015
Kenneth Faried,25,DEN,PF,75,71,2086,18.4,.548,.011,.391,12.1,22.9,17.3,7.1,1.5,2.1,12.0,20.3,3.5,2.1,5.6,.130,0.6,-0.7,-0.1,1.0,,2015
J.R. Smith,29,2TM,SG,70,51,2080,13.6,.538,.564,.095,1.7,10.4,6.0,15.6,2.1,0.8,11.0,19.3,2.2,1.5,3.7,.085,0.7,0.0,0.7,1.5,,2015
J.R. Smith,29,NYK,SG,24,6,619,11.5,.487,.359,.155,0.7,10.4,5.4,23.3,1.5,0.5,14.4,23.3,-0.2,0.1,-0.1,-0.008,-0.9,-1.9,-2.8,-0.1,,2015
J.R. Smith,29,CLE,SG,46,45,1461,14.5,.565,.667,.065,2.1,10.4,6.3,12.3,2.3,1.0,9.1,17.6,2.4,1.3,3.8,.124,1.4,0.8,2.2,1.6,,2015
Andre Iguodala,31,GSW,SF,77,0,2069,12.3,.553,.427,.230,2.4,10.8,6.7,14.6,2.1,0.9,13.9,13.3,2.3,2.8,5.1,.117,-0.4,1.4,0.9,1.5,6MOY-4,2015
Joakim Noah,29,CHI,C,67,67,2049,15.3,.482,.005,.407,11.9,22.1,17.1,23.0,1.2,2.6,19.6,13.7,2.4,3.1,5.6,.130,0.1,2.0,2.1,2.1,DPOY-12,2015
Marcus Morris,25,PHO,PF,81,35,2045,13.7,.520,.410,.148,3.9,16.9,10.3,10.2,1.5,0.6,8.2,19.0,2.2,1.8,4.0,.093,0.1,0.0,0.1,1.1,,2015
Timofey Mozgov,28,2TM,C,81,80,2045,16.6,.594,.011,.382,11.0,21.4,16.1,4.3,0.8,3.7,14.9,16.9,3.5,2.2,5.7,.133,-0.6,-0.1,-0.7,0.7,,2015
Timofey Mozgov,28,DEN,C,35,35,897,13.8,.554,.026,.371,10.6,22.6,16.4,2.7,0.8,3.6,14.8,15.3,0.9,0.9,1.8,.096,-1.9,-0.1,-1.9,0.0,,2015
Timofey Mozgov,28,CLE,C,46,45,1148,18.7,.621,.000,.389,11.4,20.4,15.9,5.6,0.8,3.9,15.0,18.1,2.5,1.3,3.9,.161,0.4,-0.1,0.3,0.7,,2015
Donatas Motiejūnas,24,HOU,PF,71,62,2037,14.4,.553,.190,.237,7.4,15.4,11.4,10.8,1.4,1.3,13.7,19.1,2.4,2.3,4.7,.110,-0.4,-0.1,-0.5,0.8,,2015
Marvin Williams,28,CHO,PF,78,37,2035,11.8,.541,.535,.176,3.1,18.2,10.4,7.8,1.8,1.4,10.1,13.3,1.5,2.9,4.3,.102,-1.4,1.4,0.0,1.0,,2015
Brandon Knight,23,2TM,PG,63,61,2035,17.1,.543,.361,.251,1.6,12.0,6.8,27.4,2.3,0.4,16.1,25.9,2.0,2.5,4.5,.106,1.9,-0.3,1.6,1.9,,2015
Brandon Knight,23,MIL,PG,52,52,1688,18.5,.556,.341,.260,1.8,13.1,7.5,28.6,2.5,0.5,16.7,26.6,2.0,2.4,4.4,.124,2.5,0.0,2.5,1.9,,2015
